Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire-SAT---4.5,106.01330,802.00000,5.00000
Paradox---4.0,90.27345,716.00000,0.00000
Nitpick---2016,55.03322,583.00000,0.00000
DarwinFM---1.4.5,52.77143,611.00000,0.00000
Mace4---1109a,51.99787,507.00000,1.00000
CVC4-SAT---1.7,50.58272,591.00000,1.00000
iProver-SAT---3.0,50.43470,625.00000,0.00000
iProver---3.0,36.58686,523.00000,0.00000
Vampire---4.5,33.93777,444.00000,2.00000
E-SAT---2.5,33.54011,459.00000,0.00000
E---2.5,33.25439,457.00000,0.00000
SPASS---3.9,28.77003,383.00000,0.00000
Geo-III---2018C,28.70201,396.00000,0.00000
Beagle---0.9.47,24.11260,342.00000,0.00000
E-Darwin---1.5,18.89620,345.00000,0.00000
Equinox---6.0.1a,18.41538,317.00000,0.00000
DCTP---1.31,18.27485,330.00000,0.00000
iProver-Eq---0.85,16.47775,306.00000,0.00000
Metis---2.4,14.11430,276.00000,0.00000
Darwin---1.4.5,13.68099,262.00000,0.00000
Z3---4.8.9.0,13.12765,249.00000,0.00000
FDP---0.9.16,12.35238,229.00000,0.00000
Twee---2.2,12.02834,199.00000,0.00000
PyRes---1.2,6.78555,146.00000,0.00000
Bliksem---1.12,6.18673,121.00000,0.00000
CiME---2.01,2.40043,41.00000,0.00000
MaedMax---1.3,2.33583,36.00000,0.00000
Waldmeister---710,0.46596,9.00000,0.00000
LEO-II---1.7.0,0.40873,10.00000,0.00000
CVC4---1.7,0.03846,1.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
nanoCoP---1.1,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
Zipperpin---1.5,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
iProverMo---2.5-0.1,0.00000,0.00000,0.00000
HOLyHammer---0.21,0.00000,0.00000,0.00000
GKC---0.4,0.00000,0.00000,0.00000
Princess---170717,0.00000,0.00000,0.00000
Enigma---0.4,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
Faust---1.0,0.00000,0.00000,0.00000
RPx---0.1,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
Satallax---3.4,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
CSE---1.2,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
Scavenger---EP-0.2,0.00000,0.00000,0.00000
SOS---2.0,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
SNARK---20120808r022,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
CSE_E---1.1,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
ZenonModulo---0.4.2,0.00000,0.00000,0.00000
Isabelle---2016,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
Isabelle-HOT---2016,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
Moca---0.1,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Leo-III---1.4,0.00000,0.00000,0.00000
Prover9---1109a,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
