Algorithm,Shapley Value,Standalone Performance,Marginal Performance
Vampire-SAT---4.2,100.25319,743.00000,4.00000
Paradox---3.0,84.27938,649.00000,1.00000
Mace4---1109a,53.68793,489.00000,2.00000
Nitpick---2016,51.82175,540.00000,0.00000
DarwinFM---1.4.5,50.44486,564.00000,0.00000
iProver-SAT---2.6,49.91737,566.00000,0.00000
CVC4-SAT---1.5.2,49.49010,559.00000,0.00000
Vampire---4.2,32.72597,407.00000,0.00000
SPASS---3.9,28.41788,344.00000,0.00000
E-SAT---2.0,27.94321,364.00000,0.00000
E---2.0,27.54321,362.00000,0.00000
iProver---2.6,25.57437,380.00000,1.00000
Geo-III---2016C,24.70376,354.00000,0.00000
Beagle---0.9.47,23.81178,305.00000,0.00000
DCTP---1.31,19.68593,330.00000,0.00000
E-Darwin---1.5,18.75010,314.00000,0.00000
iProver-Eq---0.85,17.65715,306.00000,0.00000
Z3---4.4.1,16.10810,283.00000,0.00000
Darwin---1.4.5,14.82062,262.00000,0.00000
FDP---0.9.16,13.24782,229.00000,0.00000
Metis---2.3,12.22873,238.00000,0.00000
ET---0.2,10.26344,161.00000,0.00000
Equinox---5.0,8.16290,145.00000,0.00000
Bliksem---1.12,3.79299,82.00000,0.00000
CiME---2.01,0.69131,11.00000,0.00000
Waldmeister---710,0.50450,9.00000,0.00000
LEO-II---1.7.0,0.42999,10.00000,0.00000
CVC4---1.5.2,0.04167,1.00000,0.00000
HOLyHammer---140616,0.00000,0.00000,0.00000
ZenonModulo---0.4.1,0.00000,0.00000,0.00000
EQP---0.9e,0.00000,0.00000,0.00000
SETHEO---3.3,0.00000,0.00000,0.00000
Faust---1.0,0.00000,0.00000,0.00000
Satallax_MaLeS---1.3,0.00000,0.00000,0.00000
SInE---0.4,0.00000,0.00000,0.00000
SaKo---3.9-0.5.3,0.00000,0.00000,0.00000
SOS---2.0,0.00000,0.00000,0.00000
iProverMo---0.7-0.3,0.00000,0.00000,0.00000
Otter---3.3,0.00000,0.00000,0.00000
SPASS-XDB---0.8,0.00000,0.00000,0.00000
ET---2.0,0.00000,0.00000,0.00000
S-SETHEO---0.0,0.00000,0.00000,0.00000
Isabelle---2016,0.00000,0.00000,0.00000
Princess---160606,0.00000,0.00000,0.00000
Infinox---1.0,0.00000,0.00000,0.00000
Fampire---1.3,0.00000,0.00000,0.00000
Muscadet---4.5,0.00000,0.00000,0.00000
Zipperpin---0.4,0.00000,0.00000,0.00000
SPASS+T---2.2.22,0.00000,0.00000,0.00000
Crossbow---0.1,0.00000,0.00000,0.00000
ePrincess---1.0,0.00000,0.00000,0.00000
agsyHOL---1.0,0.00000,0.00000,0.00000
Leo-III---1.0,0.00000,0.00000,0.00000
E-KRHyper---1.4,0.00000,0.00000,0.00000
CVC4-TFN---1.5.2,0.00000,0.00000,0.00000
Zipperpin-TFF---0.4,0.00000,0.00000,0.00000
leanCoP---2.2,0.00000,0.00000,0.00000
Gandalf---c-2.6,0.00000,0.00000,0.00000
Refute---2015,0.00000,0.00000,0.00000
TPS---3.120601S1b,0.00000,0.00000,0.00000
cocATP---0.2.0,0.00000,0.00000,0.00000
SuperZenon---0.0.1,0.00000,0.00000,0.00000
Scavenger---EP-0.1,0.00000,0.00000,0.00000
Isabelle-HOT---2016,0.00000,0.00000,0.00000
Prover9---1109a,0.00000,0.00000,0.00000
Zenon---0.7.1,0.00000,0.00000,0.00000
CARINE---0.734,0.00000,0.00000,0.00000
PEPR---0.0ps,0.00000,0.00000,0.00000
SRASS---0.1,0.00000,0.00000,0.00000
GrAnDe---1.1,0.00000,0.00000,0.00000
CVC4-TFF---1.5.2,0.00000,0.00000,0.00000
Matita---1.0,0.00000,0.00000,0.00000
Satallax---3.2,0.00000,0.00000,0.00000
Twee---1.0,0.00000,0.00000,0.00000
iProverMo-TF0---2.5-0.1,0.00000,0.00000,0.00000
Fiesta---2,0.00000,0.00000,0.00000
SNARK---20120808r022,0.00000,0.00000,0.00000
